CELL,TECHNOLOGY,CLUSTERTYPE,PROVINCE
2393B2,3G,Good,FREE STATE
2393C,2G,Good,FREE STATE
2393C1,3G,Good,FREE STATE
2393C2,3G,Good,FREE STATE
2394A,2G,Good,NORTH WEST
2394B,2G,Good,NORTH WEST
2394C,2G,Good,NORTH WEST
2395A,2G,Good,NORTH WEST
2396A,2G,Good,NORTH WEST
2396B,2G,Good,NORTH WEST
2396C,2G,Good,NORTH WEST
2397A,2G,High,MPUMALANGA
2397A1,3G,High,MPUMALANGA
2397B,2G,High,MPUMALANGA
2397B1,3G,High,MPUMALANGA
2397C,2G,High,MPUMALANGA
2397C1,3G,High,MPUMALANGA
2398A,2G,High,MPUMALANGA
2398B,2G,High,MPUMALANGA
2398C,2G,High,MPUMALANGA
2399A,2G,Good,LIMPOPO
2399B,2G,Good,LIMPOPO
2399C,2G,Good,LIMPOPO
239A,2G,Premium,FREE STATE
239B,2G,Premium,FREE STATE
239B1,3G,Premium,FREE STATE
239B2,3G,Premium,FREE STATE
239C,2G,Premium,FREE STATE
239C1,3G,Premium,FREE STATE
239C2,3G,Premium,FREE STATE
23A,2G,High,GAUTENG
23A1,3G,High,GAUTENG
23A2,3G,High,GAUTENG
23B,2G,High,GAUTENG
23B1,3G,High,GAUTENG
23B2,3G,High,GAUTENG
23C,2G,High,GAUTENG
23C1,3G,High,GAUTENG
23C2,3G,High,GAUTENG
2400A,2G,Good,MPUMALANGA
2400B,2G,Good,MPUMALANGA
2400C,2G,Good,MPUMALANGA
2401A,2G,High,LIMPOPO
2401B,2G,High,LIMPOPO
2401C,2G,High,LIMPOPO
2402A,2G,High,KWAZULU-NATAL
2402A1,3G,High,KWAZULU-NATAL
2402B,2G,High,KWAZULU-NATAL
2402B1,3G,High,KWAZULU-NATAL
2402C,2G,High,KWAZULU-NATAL
2402C1,3G,High,KWAZULU-NATAL
2403A,2G,High,KWAZULU-NATAL
2403A1,3G,High,KWAZULU-NATAL
2403A2,3G,High,KWAZULU-NATAL
2403B,2G,High,KWAZULU-NATAL
2403B1,3G,High,KWAZULU-NATAL
2403B2,3G,High,KWAZULU-NATAL
2403C,2G,High,KWAZULU-NATAL
2403C1,3G,High,KWAZULU-NATAL
2403C2,3G,High,KWAZULU-NATAL
2404A,2G,High,KWAZULU-NATAL
2404A1,3G,High,KWAZULU-NATAL
2404A2,3G,High,KWAZULU-NATAL
2404B,2G,High,KWAZULU-NATAL
2404B1,3G,High,KWAZULU-NATAL
2404B2,3G,High,KWAZULU-NATAL
2404C,2G,High,KWAZULU-NATAL
2404C1,3G,High,KWAZULU-NATAL
2404C2,3G,High,KWAZULU-NATAL
2405A,2G,High,KWAZULU-NATAL
2405B,2G,High,KWAZULU-NATAL
2406A,2G,Premium,KWAZULU-NATAL
2406A1,3G,Premium,KWAZULU-NATAL
2406A2,3G,Premium,KWAZULU-NATAL
2406B,2G,Premium,KWAZULU-NATAL
2406B1,3G,Premium,KWAZULU-NATAL
2406B2,3G,Premium,KWAZULU-NATAL
2406C,2G,Premium,KWAZULU-NATAL
2406C1,3G,Premium,KWAZULU-NATAL
2406C2,3G,Premium,KWAZULU-NATAL
2407A,2G,Premium,KWAZULU-NATAL
2407A1,3G,Premium,KWAZULU-NATAL
2407A2,3G,Premium,KWAZULU-NATAL
2407B,2G,Premium,KWAZULU-NATAL
2407B1,3G,Premium,KWAZULU-NATAL
2407B2,3G,Premium,KWAZULU-NATAL
2407C,2G,Premium,KWAZULU-NATAL
2407C1,3G,Premium,KWAZULU-NATAL
2407C2,3G,Premium,KWAZULU-NATAL
2408A,2G,Good,LIMPOPO
2409A,2G,Good,KWAZULU-NATAL
2409B,2G,Good,KWAZULU-NATAL
2409C,2G,Good,KWAZULU-NATAL
240A,2G,High,KWAZULU-NATAL
240A1,3G,High,KWAZULU-NATAL
240A2,3G,High,KWAZULU-NATAL
240B,2G,High,KWAZULU-NATAL
240B1,3G,High,KWAZULU-NATAL
240B2,3G,High,KWAZULU-NATAL
240C,2G,High,KWAZULU-NATAL
240C1,3G,High,KWAZULU-NATAL
240C2,3G,High,KWAZULU-NATAL
2410A,2G,Premium,KWAZULU-NATAL
2410A1,3G,Premium,KWAZULU-NATAL
2410A2,3G,Premium,KWAZULU-NATAL
2410A3,3G,Premium,KWAZULU-NATAL
2410B1,3G,Premium,KWAZULU-NATAL
2410B2,3G,Premium,KWAZULU-NATAL
2410B3,3G,Premium,KWAZULU-NATAL
2411A,2G,High,KWAZULU-NATAL
2412A,2G,High,KWAZULU-NATAL
2412A1,3G,High,KWAZULU-NATAL
2412A2,3G,High,KWAZULU-NATAL
2412B,2G,High,KWAZULU-NATAL
2412B1,3G,High,KWAZULU-NATAL
2412B2,3G,High,KWAZULU-NATAL
2412C,2G,High,KWAZULU-NATAL
2412C1,3G,High,KWAZULU-NATAL
2412C2,3G,High,KWAZULU-NATAL
2413A,2G,High,KWAZULU-NATAL
2413A1,3G,High,KWAZULU-NATAL
2413B,2G,High,KWAZULU-NATAL
2413B1,3G,High,KWAZULU-NATAL
2413C,2G,High,KWAZULU-NATAL
2413C1,3G,High,KWAZULU-NATAL
2414A,2G,High,KWAZULU-NATAL
2414A1,3G,High,KWAZULU-NATAL
2414A2,3G,High,KWAZULU-NATAL
2414B,2G,High,KWAZULU-NATAL
2414B1,3G,High,KWAZULU-NATAL
2414B2,3G,High,KWAZULU-NATAL
2414C,2G,High,KWAZULU-NATAL
2414C1,3G,High,KWAZULU-NATAL
2414C2,3G,High,KWAZULU-NATAL
2415A,2G,High,KWAZULU-NATAL
2415A1,3G,High,KWAZULU-NATAL
2415A2,3G,High,KWAZULU-NATAL
2415B,2G,High,KWAZULU-NATAL
2415B1,3G,High,KWAZULU-NATAL
2415B2,3G,High,KWAZULU-NATAL
2415C,2G,High,KWAZULU-NATAL
2415C1,3G,High,KWAZULU-NATAL
2415C2,3G,High,KWAZULU-NATAL
2416A,2G,Premium,KWAZULU-NATAL
2416A1,3G,Premium,KWAZULU-NATAL
2416A2,3G,Premium,KWAZULU-NATAL
2416B,2G,Premium,KWAZULU-NATAL
2416B1,3G,Premium,KWAZULU-NATAL
2416B2,3G,Premium,KWAZULU-NATAL
2416C,2G,Premium,KWAZULU-NATAL
2417A,2G,High,NORTHERN CAPE
2417A1,3G,High,NORTHERN CAPE
2417A2,3G,High,NORTHERN CAPE
2417B,2G,High,NORTHERN CAPE
2417B1,3G,High,NORTHERN CAPE
2417B2,3G,High,NORTHERN CAPE
2417C,2G,High,NORTHERN CAPE
2417C1,3G,High,NORTHERN CAPE
2417C2,3G,High,NORTHERN CAPE
2418A,2G,High,NORTHERN CAPE
2418A1,3G,High,NORTHERN CAPE
2418B,2G,High,NORTHERN CAPE
2418B1,3G,High,NORTHERN CAPE
2418C,2G,High,NORTHERN CAPE
2418C1,3G,High,NORTHERN CAPE
2419A,2G,Good,FREE STATE
2419B,2G,Good,FREE STATE
2419C,2G,Good,FREE STATE
241A,2G,High,KWAZULU-NATAL
241A1,3G,High,KWAZULU-NATAL
241B,2G,High,KWAZULU-NATAL
241B1,3G,High,KWAZULU-NATAL
241C,2G,High,KWAZULU-NATAL
2420A,2G,Good,NORTH WEST
2420A1,3G,Good,NORTH WEST
2420A2,3G,Good,NORTH WEST
2420B,2G,Good,NORTH WEST
2420B1,3G,Good,NORTH WEST
2420B2,3G,Good,NORTH WEST
2420C,2G,Good,NORTH WEST
2420C1,3G,Good,NORTH WEST
2420C2,3G,Good,NORTH WEST
2421A,2G,Good,NORTHERN CAPE
2423A,2G,Good,WESTERN CAPE
2424A,2G,Premium,KWAZULU-NATAL
2424A1,3G,Premium,KWAZULU-NATAL
2424A2,3G,Premium,KWAZULU-NATAL
2424B,2G,Premium,KWAZULU-NATAL
2424B1,3G,Premium,KWAZULU-NATAL
2424B2,3G,Premium,KWAZULU-NATAL
2424C,2G,Premium,KWAZULU-NATAL
2424C1,3G,Premium,KWAZULU-NATAL
2424C2,3G,Premium,KWAZULU-NATAL
2425A,2G,High,GAUTENG
2425A1,3G,High,GAUTENG
2425A2,3G,High,GAUTENG
2425B,2G,High,GAUTENG
2425B1,3G,High,GAUTENG
2425B2,3G,High,GAUTENG
2425C,2G,High,GAUTENG
2425C1,3G,High,GAUTENG
2425C2,3G,High,GAUTENG
2426A,2G,Good,NORTHERN CAPE
2426B,2G,Good,NORTHERN CAPE
2426C,2G,Good,NORTHERN CAPE
2427A,2G,Good,FREE STATE
2428A,2G,High,GAUTENG
2428A1,3G,High,GAUTENG
2428A2,3G,High,GAUTENG
2428B,2G,High,GAUTENG
2428B1,3G,High,GAUTENG
2428B2,3G,High,GAUTENG
2428C,2G,High,GAUTENG
2428C1,3G,High,GAUTENG
2428C2,3G,High,GAUTENG
2429A,2G,Premium,GAUTENG
2429A1,3G,Premium,GAUTENG
2429A2,3G,Premium,GAUTENG
2429B1,3G,Premium,GAUTENG
2429B2,3G,Premium,GAUTENG
242A,2G,High,KWAZULU-NATAL
242A1,3G,High,KWAZULU-NATAL
242B,2G,High,KWAZULU-NATAL
242B1,3G,High,KWAZULU-NATAL
242C,2G,High,KWAZULU-NATAL
242C1,3G,High,KWAZULU-NATAL
242D,2G,High,KWAZULU-NATAL
2430A,2G,Premium,GAUTENG
2430A1,3G,Premium,GAUTENG
2430A2,3G,Premium,GAUTENG
2431A,2G,High,FREE STATE
2431B,2G,High,FREE STATE
2431C,2G,High,FREE STATE
2432A,2G,High,GAUTENG
2432A1,3G,High,GAUTENG
2432A2,3G,High,GAUTENG
2432B,2G,High,GAUTENG
2432B1,3G,High,GAUTENG
2432B2,3G,High,GAUTENG
2432C,2G,High,GAUTENG
2432C1,3G,High,GAUTENG
2432C2,3G,High,GAUTENG
2433A,2G,Premium,GAUTENG
2433A1,3G,Premium,GAUTENG
2433A2,3G,Premium,GAUTENG
2433B,2G,Premium,GAUTENG
2433B1,3G,Premium,GAUTENG
2433B2,3G,Premium,GAUTENG
2433C,2G,Premium,GAUTENG
2433C1,3G,Premium,GAUTENG
2433C2,3G,Premium,GAUTENG
2434A,2G,Good,LIMPOPO
2435A,2G,Premium,GAUTENG
2436A,2G,Premium,FREE STATE
2436A1,3G,Premium,FREE STATE
2436A2,3G,Premium,FREE STATE
2436B,2G,Premium,FREE STATE
2436B1,3G,Premium,FREE STATE
2436B2,3G,Premium,FREE STATE
2436C,2G,Premium,FREE STATE
2436C1,3G,Premium,FREE STATE
2436C2,3G,Premium,FREE STATE
2437A,2G,High,EASTERN CAPE
2437A1,3G,High,EASTERN CAPE
2437A2,3G,High,EASTERN CAPE
2437B,2G,High,EASTERN CAPE
2437B1,3G,High,EASTERN CAPE
2437B2,3G,High,EASTERN CAPE
2437C,2G,High,EASTERN CAPE
2437C1,3G,High,EASTERN CAPE
2437C2,3G,High,EASTERN CAPE
2438A,2G,Good,NORTHERN CAPE
2438B,2G,Good,NORTHERN CAPE
2438C,2G,Good,NORTHERN CAPE
2439A,2G,High,KWAZULU-NATAL
243A,2G,High,WESTERN CAPE
243A1,3G,High,WESTERN CAPE
243A2,3G,High,WESTERN CAPE
243B,2G,High,WESTERN CAPE
243B1,3G,High,WESTERN CAPE
243B2,3G,High,WESTERN CAPE
243C,2G,High,WESTERN CAPE
243C1,3G,High,WESTERN CAPE
243C2,3G,High,WESTERN CAPE
2440A,2G,Premium,GAUTENG
2440A1,3G,Premium,GAUTENG
2440B,2G,Premium,GAUTENG
2440B1,3G,Premium,GAUTENG
2440C,2G,Premium,GAUTENG
2440C1,3G,Premium,GAUTENG
2441A,2G,High,GAUTENG
2441A1,3G,High,GAUTENG
2441A2,3G,High,GAUTENG
2441B,2G,High,GAUTENG
2441B1,3G,High,GAUTENG
2441B2,3G,High,GAUTENG
2441C,2G,High,GAUTENG
2441C1,3G,High,GAUTENG
2441C2,3G,High,GAUTENG
2442A,2G,Premium,GAUTENG
2442A1,3G,Premium,GAUTENG
2442B,2G,Premium,GAUTENG
2442B1,3G,Premium,GAUTENG
2442C,2G,Premium,GAUTENG
2442C1,3G,Premium,GAUTENG
2443A,2G,Good,LIMPOPO
2444A,2G,Good,MPUMALANGA
2444B,2G,Good,MPUMALANGA
2444C,2G,Good,MPUMALANGA
2445A,2G,Good,LIMPOPO
2445A1,3G,Good,LIMPOPO
2446A,2G,Good,LIMPOPO
2446B,2G,Good,LIMPOPO
2446C,2G,Good,LIMPOPO
2447A,2G,High,LIMPOPO
2447B,2G,High,LIMPOPO
2447C,2G,High,LIMPOPO
2448A,2G,High,LIMPOPO
2448B,2G,High,LIMPOPO
2448C,2G,High,LIMPOPO
2449A,2G,Premium,KWAZULU-NATAL
2449A1,3G,Premium,KWAZULU-NATAL
2449B,2G,Premium,KWAZULU-NATAL
2449C,2G,Premium,KWAZULU-NATAL
244A,2G,Premium,WESTERN CAPE
244A1,3G,Premium,WESTERN CAPE
244A2,3G,Premium,WESTERN CAPE
244B,2G,Premium,WESTERN CAPE
244B1,3G,Premium,WESTERN CAPE
244B2,3G,Premium,WESTERN CAPE
244C,2G,Premium,WESTERN CAPE
244C1,3G,Premium,WESTERN CAPE
244C2,3G,Premium,WESTERN CAPE
2450A,2G,High,KWAZULU-NATAL
2451A,2G,Good,NORTHERN CAPE
2451B,2G,Good,NORTHERN CAPE
2451C,2G,Good,NORTHERN CAPE
2452A,2G,High,NORTHERN CAPE
2454A,2G,Good,FREE STATE
2454B,2G,Good,FREE STATE
2454C,2G,Good,FREE STATE
2455A,2G,Premium,GAUTENG
2455A1,3G,Premium,GAUTENG
2455A2,3G,Premium,GAUTENG
2455B,2G,Premium,GAUTENG
2455B1,3G,Premium,GAUTENG
2455B2,3G,Premium,GAUTENG
2455C,2G,Premium,GAUTENG
2455C1,3G,Premium,GAUTENG
2455C2,3G,Premium,GAUTENG
2456A1,3G,Premium,GAUTENG
2456A2,3G,Premium,GAUTENG
2456B,2G,Premium,GAUTENG
2456B1,3G,Premium,GAUTENG
2456B2,3G,Premium,GAUTENG
2456C,2G,Premium,GAUTENG
2456C1,3G,Premium,GAUTENG
2456C2,3G,Premium,GAUTENG
2458A,2G,Premium,GAUTENG
2458A1,3G,Premium,GAUTENG
2458A2,3G,Premium,GAUTENG
2458B,2G,Premium,GAUTENG
2458B1,3G,Premium,GAUTENG
2458B2,3G,Premium,GAUTENG
2458C,2G,Premium,GAUTENG
2458C1,3G,Premium,GAUTENG
2458C2,3G,Premium,GAUTENG
2459A,2G,Premium,GAUTENG
245A,2G,High,WESTERN CAPE
245A1,3G,High,WESTERN CAPE
245B,2G,High,WESTERN CAPE
245B1,3G,High,WESTERN CAPE
245C,2G,High,WESTERN CAPE
245C1,3G,High,WESTERN CAPE
2460A,2G,Good,EASTERN CAPE
2460B,2G,Good,EASTERN CAPE
2460C,2G,Good,EASTERN CAPE
2461A,2G,High,EASTERN CAPE
2461A1,3G,High,EASTERN CAPE
2461B,2G,High,EASTERN CAPE
2461B1,3G,High,EASTERN CAPE
2461C,2G,High,EASTERN CAPE
2461C1,3G,High,EASTERN CAPE
2462A,2G,Premium,GAUTENG
2462B,2G,Premium,GAUTENG
2462C,2G,Premium,GAUTENG
2463A,2G,High,EASTERN CAPE
2463A1,3G,High,EASTERN CAPE
2463A2,3G,High,EASTERN CAPE
2463B,2G,High,EASTERN CAPE
2463B1,3G,High,EASTERN CAPE
2463B2,3G,High,EASTERN CAPE
2463C,2G,High,EASTERN CAPE
2463C1,3G,High,EASTERN CAPE
2463C2,3G,High,EASTERN CAPE
2464A,2G,High,GAUTENG
2465A,2G,Premium,GAUTENG
2466A,2G,Good,KWAZULU-NATAL
2466B,2G,Good,KWAZULU-NATAL
2466C,2G,Good,KWAZULU-NATAL
2467A,2G,Premium,GAUTENG
2467A1,3G,Premium,GAUTENG
2467B,2G,Premium,GAUTENG
2467B1,3G,Premium,GAUTENG
2467C,2G,Premium,GAUTENG
2467C1,3G,Premium,GAUTENG
2468A,2G,High,EASTERN CAPE
2468A1,3G,High,EASTERN CAPE
2468A2,3G,High,EASTERN CAPE
2468B,2G,High,EASTERN CAPE
2468B1,3G,High,EASTERN CAPE
2468B2,3G,High,EASTERN CAPE
2468C,2G,High,EASTERN CAPE
2468C1,3G,High,EASTERN CAPE
2468C2,3G,High,EASTERN CAPE
2469A,2G,High,EASTERN CAPE
2469A1,3G,High,EASTERN CAPE
2469A2,3G,High,EASTERN CAPE
2469B,2G,High,EASTERN CAPE
2469B1,3G,High,EASTERN CAPE
2469B2,3G,High,EASTERN CAPE
2469C,2G,High,EASTERN CAPE
2469C1,3G,High,EASTERN CAPE
2469C2,3G,High,EASTERN CAPE
246A,2G,Good,FREE STATE
246A1,3G,Good,FREE STATE
246B,2G,Good,FREE STATE
246B1,3G,Good,FREE STATE
246C,2G,Good,FREE STATE
246C1,3G,Good,FREE STATE
2470A1,3G,Good,FREE STATE
2470B1,3G,Good,FREE STATE
2470C1,3G,Good,FREE STATE
2471A,2G,Good,NORTH WEST
2471A1,3G,Good,NORTH WEST
2471B,2G,Good,NORTH WEST
2471B1,3G,Good,NORTH WEST
2471C,2G,Good,NORTH WEST
2471C1,3G,Good,NORTH WEST
2474A,2G,Premium,GAUTENG
2474A1,3G,Premium,GAUTENG
2474A2,3G,Premium,GAUTENG
2474B,2G,Premium,GAUTENG
2474B1,3G,Premium,GAUTENG
2474B2,3G,Premium,GAUTENG
2474C,2G,Premium,GAUTENG
2474C1,3G,Premium,GAUTENG
2474C2,3G,Premium,GAUTENG
2475A,2G,High,KWAZULU-NATAL
2475A1,3G,High,KWAZULU-NATAL
2475B1,3G,High,KWAZULU-NATAL
2475C1,3G,High,KWAZULU-NATAL
2476A,2G,Premium,KWAZULU-NATAL
2476A1,3G,Premium,KWAZULU-NATAL
2476B,2G,Premium,KWAZULU-NATAL
2476B1,3G,Premium,KWAZULU-NATAL
2476C,2G,Premium,KWAZULU-NATAL
2476C1,3G,Premium,KWAZULU-NATAL
2477A,2G,High,KWAZULU-NATAL
2477A1,3G,High,KWAZULU-NATAL
2477B,2G,High,KWAZULU-NATAL
2477B1,3G,High,KWAZULU-NATAL
2477C,2G,High,KWAZULU-NATAL
2477C1,3G,High,KWAZULU-NATAL
2478A,2G,High,KWAZULU-NATAL
2478A1,3G,High,KWAZULU-NATAL
2478B,2G,High,KWAZULU-NATAL
2478B1,3G,High,KWAZULU-NATAL
2478C,2G,High,KWAZULU-NATAL
2478C1,3G,High,KWAZULU-NATAL
2479A,2G,Premium,KWAZULU-NATAL
2479A1,3G,Premium,KWAZULU-NATAL
2479B,2G,Premium,KWAZULU-NATAL
2479B1,3G,Premium,KWAZULU-NATAL
2479C,2G,Premium,KWAZULU-NATAL
2479C1,3G,Premium,KWAZULU-NATAL
247A,2G,Premium,FREE STATE
247A1,3G,Premium,FREE STATE
247A2,3G,Premium,FREE STATE
247B,2G,Premium,FREE STATE
247B1,3G,Premium,FREE STATE
247B2,3G,Premium,FREE STATE
247C,2G,Premium,FREE STATE
247C1,3G,Premium,FREE STATE
247C2,3G,Premium,FREE STATE
2480A,2G,Good,KWAZULU-NATAL
2481A,2G,Premium,GAUTENG
2481B,2G,Premium,GAUTENG
2481C,2G,Premium,GAUTENG
2482A,2G,High,KWAZULU-NATAL
2482A1,3G,High,KWAZULU-NATAL
2482B,2G,High,KWAZULU-NATAL
2482B1,3G,High,KWAZULU-NATAL
2482C,2G,High,KWAZULU-NATAL
2482C1,3G,High,KWAZULU-NATAL
2482D,2G,High,KWAZULU-NATAL
2483A,2G,Good,KWAZULU-NATAL
2483A1,3G,Good,KWAZULU-NATAL
2483B,2G,Good,KWAZULU-NATAL
2483B1,3G,Good,KWAZULU-NATAL
2483C,2G,Good,KWAZULU-NATAL
2483C1,3G,Good,KWAZULU-NATAL
2484A,2G,High,GAUTENG
2484A1,3G,High,GAUTENG
2484A2,3G,High,GAUTENG
2484B,2G,High,GAUTENG
2484B1,3G,High,GAUTENG
2484B2,3G,High,GAUTENG
2484C,2G,High,GAUTENG
2484C1,3G,High,GAUTENG
2484C2,3G,High,GAUTENG
2485A,2G,High,KWAZULU-NATAL
2486A,2G,Premium,KWAZULU-NATAL
2486A1,3G,Premium,KWAZULU-NATAL
2486B,2G,Premium,KWAZULU-NATAL
2486B1,3G,Premium,KWAZULU-NATAL
2486C,2G,Premium,KWAZULU-NATAL
2486C1,3G,Premium,KWAZULU-NATAL
2487A,2G,Premium,GAUTENG
2488A,2G,Premium,GAUTENG
2488A1,3G,Premium,GAUTENG
2488A2,3G,Premium,GAUTENG
2488B,2G,Premium,GAUTENG
2488B1,3G,Premium,GAUTENG
2488B2,3G,Premium,GAUTENG
2488C,2G,Premium,GAUTENG
2488C1,3G,Premium,GAUTENG
2488C2,3G,Premium,GAUTENG
2489A,2G,Good,EASTERN CAPE
2489A1,3G,Good,EASTERN CAPE
2489B,2G,Good,EASTERN CAPE
2489B1,3G,Good,EASTERN CAPE
2489C,2G,Good,EASTERN CAPE
2489C1,3G,Good,EASTERN CAPE
248A,2G,High,NORTH WEST
248A1,3G,High,NORTH WEST
248A2,3G,High,NORTH WEST
248B,2G,High,NORTH WEST
248B1,3G,High,NORTH WEST
248B2,3G,High,NORTH WEST
248C,2G,High,NORTH WEST
248C1,3G,High,NORTH WEST
248C2,3G,High,NORTH WEST
2490A,2G,Good,EASTERN CAPE
2490A1,3G,Good,EASTERN CAPE
2490B,2G,Good,EASTERN CAPE
2490B1,3G,Good,EASTERN CAPE
2490C,2G,Good,EASTERN CAPE
2490C1,3G,Good,EASTERN CAPE
2491A,2G,High,FREE STATE
2491A1,3G,High,FREE STATE
2491A2,3G,High,FREE STATE
2491B,2G,High,FREE STATE
2491B1,3G,High,FREE STATE
2491B2,3G,High,FREE STATE
2491C,2G,High,FREE STATE
2491C1,3G,High,FREE STATE
2491C2,3G,High,FREE STATE
2492A,2G,Premium,FREE STATE
2492A1,3G,Premium,FREE STATE
2492A2,3G,Premium,FREE STATE
2492B,2G,Premium,FREE STATE
2492B1,3G,Premium,FREE STATE
2492B2,3G,Premium,FREE STATE
2492C,2G,Premium,FREE STATE
2492C1,3G,Premium,FREE STATE
2492C2,3G,Premium,FREE STATE
2493A,2G,Premium,FREE STATE
2493A1,3G,Premium,FREE STATE
2493A2,3G,Premium,FREE STATE
2493B,2G,Premium,FREE STATE
2493B1,3G,Premium,FREE STATE
2493B2,3G,Premium,FREE STATE
2493C,2G,Premium,FREE STATE
2493C1,3G,Premium,FREE STATE
2493C2,3G,Premium,FREE STATE
2494A,2G,High,KWAZULU-NATAL
2495A,2G,Good,KWAZULU-NATAL
2495A1,3G,Good,KWAZULU-NATAL
2495B,2G,Good,KWAZULU-NATAL
2495B1,3G,Good,KWAZULU-NATAL
2495C,2G,Good,KWAZULU-NATAL
2495C1,3G,Good,KWAZULU-NATAL
2496A,2G,High,WESTERN CAPE
2496A1,3G,High,WESTERN CAPE
2496A2,3G,High,WESTERN CAPE
2496B,2G,High,WESTERN CAPE
2496B1,3G,High,WESTERN CAPE
2496B2,3G,High,WESTERN CAPE
2496C,2G,High,WESTERN CAPE
2496C1,3G,High,WESTERN CAPE
2496C2,3G,High,WESTERN CAPE
2497A,2G,High,MPUMALANGA
2497A1,3G,High,MPUMALANGA
2497B,2G,High,MPUMALANGA
2497B1,3G,High,MPUMALANGA
2497C,2G,High,MPUMALANGA
2497C1,3G,High,MPUMALANGA
2498A,2G,Premium,NORTH WEST
2498A1,3G,Premium,NORTH WEST
2498A2,3G,Premium,NORTH WEST
2498B,2G,Premium,NORTH WEST
2498B1,3G,Premium,NORTH WEST
2498B2,3G,Premium,NORTH WEST
2498C,2G,Premium,NORTH WEST
2498C1,3G,Premium,NORTH WEST
2498C2,3G,Premium,NORTH WEST
2499A,2G,High,LIMPOPO
2499A1,3G,High,LIMPOPO
2499B,2G,High,LIMPOPO
2499B1,3G,High,LIMPOPO
2499C,2G,High,LIMPOPO
2499C1,3G,High,LIMPOPO
249A,2G,Good,WESTERN CAPE
249A1,3G,Good,WESTERN CAPE
249A2,3G,Good,WESTERN CAPE
249B,2G,Good,WESTERN CAPE
249B1,3G,Good,WESTERN CAPE
249B2,3G,Good,WESTERN CAPE
249C,2G,Good,WESTERN CAPE
249C1,3G,Good,WESTERN CAPE
249C2,3G,Good,WESTERN CAPE
24A,2G,High,KWAZULU-NATAL
24A1,3G,High,KWAZULU-NATAL
24A2,3G,High,KWAZULU-NATAL
24B,2G,High,KWAZULU-NATAL
24B1,3G,High,KWAZULU-NATAL
24B2,3G,High,KWAZULU-NATAL
24C,2G,High,KWAZULU-NATAL
24C1,3G,High,KWAZULU-NATAL
24C2,3G,High,KWAZULU-NATAL
2501A,2G,High,WESTERN CAPE
2501A1,3G,High,WESTERN CAPE
2501A2,3G,High,WESTERN CAPE
2501B,2G,High,WESTERN CAPE
2501B1,3G,High,WESTERN CAPE
2501B2,3G,High,WESTERN CAPE
2501C,2G,High,WESTERN CAPE
2501C1,3G,High,WESTERN CAPE
2501C2,3G,High,WESTERN CAPE
2502A,2G,Premium,WESTERN CAPE
2502A1,3G,Premium,WESTERN CAPE
2502A2,3G,Premium,WESTERN CAPE
2502B,2G,Premium,WESTERN CAPE
2502B1,3G,Premium,WESTERN CAPE
2502B2,3G,Premium,WESTERN CAPE
2502C,2G,Premium,WESTERN CAPE
2502C1,3G,Premium,WESTERN CAPE
2502C2,3G,Premium,WESTERN CAPE
2503A,2G,High,WESTERN CAPE
2503A1,3G,High,WESTERN CAPE
2503A2,3G,High,WESTERN CAPE
2503B,2G,High,WESTERN CAPE
2503B1,3G,High,WESTERN CAPE
2503B2,3G,High,WESTERN CAPE
2503C,2G,High,WESTERN CAPE
2503C1,3G,High,WESTERN CAPE
2503C2,3G,High,WESTERN CAPE
2504A,2G,Premium,WESTERN CAPE
2504A1,3G,Premium,WESTERN CAPE
2504A2,3G,Premium,WESTERN CAPE
2504B,2G,Premium,WESTERN CAPE
2504B1,3G,Premium,WESTERN CAPE
2504B2,3G,Premium,WESTERN CAPE
2504C,2G,Premium,WESTERN CAPE
2504C1,3G,Premium,WESTERN CAPE
2504C2,3G,Premium,WESTERN CAPE
2505A,2G,High,MPUMALANGA
2507A,2G,High,WESTERN CAPE
2507A1,3G,High,WESTERN CAPE
2507A2,3G,High,WESTERN CAPE
2507B,2G,High,WESTERN CAPE
2507B1,3G,High,WESTERN CAPE
2507B2,3G,High,WESTERN CAPE
2507C,2G,High,WESTERN CAPE
2507C1,3G,High,WESTERN CAPE
2507C2,3G,High,WESTERN CAPE
2508A,2G,Good,WESTERN CAPE
2509A,2G,Good,NORTHERN CAPE
250A,2G,High,KWAZULU-NATAL
250B,2G,High,KWAZULU-NATAL
250C,2G,High,KWAZULU-NATAL
2513A1,3G,Premium,GAUTENG
2513A2,3G,Premium,GAUTENG
2513A3,3G,Premium,GAUTENG
2513B1,3G,Premium,GAUTENG
2513B2,3G,Premium,GAUTENG
2513B3,3G,Premium,GAUTENG
2513C1,3G,Premium,GAUTENG
2513C2,3G,Premium,GAUTENG
2513C3,3G,Premium,GAUTENG
2514A,2G,Premium,GAUTENG
2514A1,3G,Premium,GAUTENG
2514A2,3G,Premium,GAUTENG
2514B,2G,Premium,GAUTENG
2514B1,3G,Premium,GAUTENG
2514B2,3G,Premium,GAUTENG
2514C,2G,Premium,GAUTENG
2514C1,3G,Premium,GAUTENG
2514C2,3G,Premium,GAUTENG
2515A,2G,Premium,WESTERN CAPE
2515A1,3G,Premium,WESTERN CAPE
2515A2,3G,Premium,WESTERN CAPE
2515B,2G,Premium,WESTERN CAPE
2515B1,3G,Premium,WESTERN CAPE
2515B2,3G,Premium,WESTERN CAPE
2515C,2G,Premium,WESTERN CAPE
2515C1,3G,Premium,WESTERN CAPE
2515C2,3G,Premium,WESTERN CAPE
